product_id,product_name,category,unit_cost,shelf_life_days
P000140,Huggies Deodorant 150ml,Personal Care,1.16,730
P000141,Birds Eye Gravy Granules 190g,Food,0.5,14
P000142,Nescafé Still Water 500ml,Beverage,0.54,180
P000143,Oreo Tomato Ketchup 460g,Food,0.99,180
P000144,McCain Frozen Peas 900g,Food,1.53,180
P000145,Kellogg's Pasta Sauce 500g,Food,0.86,30
P000146,Evian Milk 1L,Beverage,0.65,30
P000147,Barry's Tea Tea Bags 80ct,Beverage,1.8,90
P000148,Nestlé Biscuits 154g,Food,0.6,90
P000149,Birds Eye Chocolate Bar 40g,Food,0.6,14
P000150,Tesco Baby Wipes 64ct,Personal Care,1.28,365
P000151,Weetabix Cheddar Cheese 400g,Food,2.32,180
P000152,Oreo Tomato Ketchup 460g,Food,0.84,30
P000153,Evian Instant Coffee 200g,Beverage,2.17,180
P000154,Dove Body Wash 500ml,Personal Care,1.74,730
P000155,Barry's Tea Cheddar Cheese 200g,Food,1.1,180
P000156,Fairy Laundry Capsules 50ct,Household,6.8,1095
P000157,Fairy Kitchen Towels 2pk,Household,1.08,1095
P000158,Kerrygold Frozen Chips 1.5kg,Food,2.08,7
P000159,Tesco Bleach 1L,Household,0.59,730
P000160,Kellogg's Breakfast Cereal 500g,Food,1.21,90
P000161,Coca-Cola Iced Coffee 250ml,Beverage,0.55,180
P000162,Evian Tea Bags 80ct,Beverage,1.33,180
P000163,Ballygowan Iced Coffee 250ml,Beverage,0.49,365
P000164,Birds Eye Tea Bags 80ct,Food,1.91,7
P000165,Persil Surface Wipes 70ct,Household,1.54,365
P000166,Chivers Breakfast Cereal 375g,Food,0.97,14
P000167,Bisto Butter 500g,Food,1.34,30
P000168,Kellogg's Greek Yogurt 500g,Food,1.65,30
P000169,Barry's Tea Instant Coffee 100g,Beverage,2.43,90
P000170,Tesco Toilet Paper 9pk,Household,2.41,365
P000171,Dairy Gold Pasta Sauce 500g,Food,2.31,90
P000172,Pepsi Cola 2L,Beverage,0.8,90
P000173,Knorr Chocolate Bar 40g,Food,0.5,30
P000174,Pepsi Orange Juice 1L,Beverage,0.97,14
P000175,Knorr Greek Yogurt 500g,Food,1.15,90
P000176,Persil Laundry Capsules 50ct,Household,7.41,365
P000177,Heinz Instant Coffee 200g,Food,1.65,7
P000178,Pampers Razor Blades 8ct,Personal Care,9.48,365
P000179,Heinz Biscuits 154g,Food,0.6,7
P000180,Bisto Tea Bags 80ct,Food,1.47,90
P000181,Heinz Chocolate Bar 100g,Food,0.59,7
P000182,Huggies Razor Blades 8ct,Personal Care,5.5,730
P000183,Colgate Nappies Size 4,Personal Care,6.33,730
P000184,Heinz Pasta Sauce 500g,Food,1.17,90
P000185,Dettol Dishwashing Liquid 900ml,Household,2.49,730
P000186,Ariel Dishwashing Liquid 900ml,Household,1.71,1095
P000187,Nescafé Iced Coffee 250ml,Beverage,0.7,180
P000188,Evian Orange Juice 1L,Beverage,1.19,365
P000189,Lyons Tea Pasta Sauce 500g,Food,1.88,90
P000190,Bisto Instant Coffee 100g,Food,2.71,180
P000191,Dettol Conditioner 400ml,Personal Care,1.93,365
P000192,Pampers Deodorant 150ml,Personal Care,1.18,365
P000193,Lyons Tea Instant Coffee 200g,Beverage,1.68,90
P000194,Knorr Frozen Peas 900g,Food,1.4,30
P000195,McCain Frozen Peas 900g,Food,1.04,30
P000196,Dettol Laundry Capsules 30ct,Household,4.39,730
P000197,Pampers Baby Wipes 64ct,Personal Care,1.13,365
P000198,Gillette Toothpaste 75ml,Personal Care,0.7,365
P000199,Dettol Laundry Capsules 50ct,Household,7.37,1095
P000200,Evian Lemon-Lime Soda 2L,Beverage,0.87,180
P000201,Kellogg's Biscuits 300g,Food,1.27,90
P000202,Nestlé Chocolate Bar 100g,Food,0.44,7
P000203,Huggies Baby Wipes 64ct,Personal Care,1.34,365
P000204,Kerrygold Energy Drink 500ml,Beverage,0.81,90
P000205,Nescafé Biscuits 300g,Food,0.96,365
P000206,Nestlé Jam 340g,Food,0.95,14
P000207,Dettol Toilet Paper 18pk,Household,5.24,365
P000208,Bisto Greek Yogurt 500g,Food,1.41,7
P000209,Weetabix Biscuits 154g,Food,0.6,90
P000210,Kerrygold Milk 2L,Beverage,1.38,90
P000211,Persil Toilet Paper 9pk,Household,2.2,365
P000212,Persil Kitchen Towels 2pk,Household,0.94,365
P000213,Cadbury Tomato Ketchup 460g,Food,1.17,90
P000214,Dettol Disinfectant Spray 750ml,Household,2.39,365
P000215,Dairy Gold Crisps 150g,Food,0.48,90
P000216,Barry's Tea Tea Bags 160ct,Food,3.0,180
P000217,Tesco Bleach 1L,Household,0.64,365
P000218,Lyons Tea Sparkling Water 500ml,Beverage,0.47,180
P000219,Tesco Kitchen Towels 4pk,Household,1.77,1095
P000220,Tesco Surface Wipes 70ct,Household,1.59,365
P000221,Pepsi Energy Drink 500ml,Beverage,0.82,90
P000222,Bisto Biscuits 300g,Food,1.17,14
P000223,Nestlé Cheddar Cheese 400g,Food,2.17,7
P000224,Oreo Greek Yogurt 500g,Food,1.57,90
P000225,Birds Eye Biscuits 154g,Food,0.6,30
P000226,Tesco Hand Sanitiser 250ml,Personal Care,0.87,365
P000227,Barry's Tea Biscuits 154g,Food,0.85,90
P000228,Dettol Baby Wipes 64ct,Personal Care,0.98,1095
P000229,Nescafé Lemon-Lime Soda 2L,Beverage,0.91,14
P000230,Tesco Bleach 1L,Household,0.77,730
P000231,Pepsi Sparkling Water 500ml,Beverage,0.39,30
P000232,Barry's Tea Orange Juice 1L,Beverage,1.13,30
P000233,Coca-Cola Instant Coffee 100g,Beverage,1.68,14
P000234,Kellogg's Gravy Granules 190g,Food,0.76,180
P000235,Dettol Dishwashing Liquid 450ml,Household,1.19,365
P000236,Dairy Gold Chocolate Bar 100g,Food,0.48,14
P000237,Nestlé Frozen Peas 900g,Food,1.44,90
P000238,Barry's Tea Cola 2L,Beverage,0.81,90
P000239,Knorr Chocolate Bar 100g,Food,0.46,90
P000240,Gillette Deodorant 150ml,Personal Care,1.18,365
P000241,Dettol Nappies Size 4,Personal Care,5.95,730
P000242,Dove Hand Sanitiser 250ml,Personal Care,0.82,1095
P000243,McCain Biscuits 154g,Food,0.64,180
P000244,Nescafé Tea Bags 80ct,Food,1.43,7
P000245,Huggies Body Wash 500ml,Personal Care,2.15,730
P000246,Nescafé Gravy Granules 190g,Food,0.63,180
P000247,Huggies Deodorant 150ml,Personal Care,1.4,365
P000248,Colgate Body Wash 500ml,Personal Care,2.16,1095
P000249,Huggies Razor Blades 4ct,Personal Care,3.31,730
P000250,Weetabix Crisps 150g,Food,0.68,14
P000251,Bisto Pasta Sauce 500g,Food,1.03,7
P000252,Tesco Toothbrush 2ct,Personal Care,0.62,365
P000253,Nescafé Instant Coffee 100g,Food,2.33,30
P000254,Nestlé Tea Bags 160ct,Food,2.44,14
P000255,Nescafé Energy Drink 500ml,Beverage,1.16,30
P000256,Huggies Hand Sanitiser 250ml,Personal Care,0.69,365
P000257,Dettol Toilet Paper 18pk,Household,3.77,730
P000258,Barry's Tea Iced Coffee 250ml,Beverage,0.83,180
P000259,Dairy Gold Breakfast Cereal 375g,Food,1.04,90
P000260,Evian Sparkling Water 1.5L,Beverage,0.69,90
P000261,Huggies Conditioner 400ml,Personal Care,2.28,730
P000262,Knorr Pasta Sauce 500g,Food,1.17,365
P000263,Kerrygold Milk 2L,Beverage,1.34,30
P000264,Colgate Toothpaste 75ml,Personal Care,1.02,730
P000265,Ariel Dishwashing Liquid 900ml,Household,1.73,365
P000266,Tesco Bleach 1L,Household,1.16,1095
P000267,Fairy Disinfectant Spray 750ml,Household,2.13,365
P000268,Kerrygold Jam 340g,Food,1.1,14
P000269,Heinz Instant Coffee 100g,Food,2.09,90
P000270,Fairy Laundry Detergent 1.3L,Household,5.12,365
P000271,Tesco Bleach 1L,Household,0.56,365
P000272,Colgate Nappies Size 4,Personal Care,5.88,730
P000273,Colgate Toothbrush 2ct,Personal Care,0.81,730
P000274,Evian Instant Coffee 100g,Beverage,2.03,365
P000275,Pepsi Tea Bags 80ct,Beverage,1.32,90
P000276,Tesco Disinfectant Spray 750ml,Household,2.41,1095
P000277,Lyons Tea Energy Drink 500ml,Beverage,0.9,30
P000278,Ariel Kitchen Towels 4pk,Household,1.6,365
P000279,Fairy Bleach 1L,Household,0.84,1095
P000280,Tesco Deodorant 150ml,Personal Care,1.11,730
P000281,Weetabix Tea Bags 80ct,Food,1.48,180
P000282,Kerrygold Tea Bags 80ct,Food,1.71,30
P000283,Barry's Tea Cheddar Cheese 400g,Food,1.29,90
P000284,Barry's Tea Milk 1L,Beverage,1.11,180
P000285,Heinz Butter 250g,Food,1.63,30
P000286,Kerrygold Tea Bags 80ct,Beverage,1.64,14
P000287,Lyons Tea Orange Juice 1L,Beverage,1.48,30
P000288,Birds Eye Frozen Peas 900g,Food,1.68,180
P000289,Nescafé Still Water 1.5L,Beverage,0.6,180
P000290,Chivers Gravy Granules 190g,Food,0.84,7
P000291,Cadbury Frozen Peas 900g,Food,1.21,14
P000292,Ariel Disinfectant Spray 750ml,Household,2.67,1095
P000293,Bisto Instant Coffee 100g,Food,1.86,14
P000294,Dairy Gold Butter 250g,Food,2.17,365
P000295,Lyons Tea Energy Drink 500ml,Beverage,0.81,365
P000296,Persil Kitchen Towels 4pk,Household,1.87,1095
P000297,Nescafé Crisps 150g,Food,0.61,180
P000298,Lyons Tea Instant Coffee 200g,Beverage,2.8,180
P000299,Birds Eye Jam 340g,Food,1.15,90
P000300,McCain Breakfast Cereal 375g,Food,1.15,90
P000301,Evian Instant Coffee 200g,Beverage,1.38,180
P000302,Pepsi Orange Juice 1L,Beverage,1.49,90
P000303,Nescafé Tea Bags 80ct,Beverage,1.27,90
P000304,Persil Bleach 1L,Household,0.78,365
P000305,Dove Body Wash 500ml,Personal Care,3.15,365
P000306,Ballygowan Instant Coffee 100g,Beverage,2.96,90
P000307,Nestlé Tomato Ketchup 460g,Food,1.21,90
P000308,Fairy Disinfectant Spray 750ml,Household,2.52,1095
P000309,Kerrygold Tea Bags 80ct,Food,1.51,30
P000310,Bisto Biscuits 300g,Food,1.09,7
P000311,McCain Butter 250g,Food,1.29,90
P000312,Oreo Breakfast Cereal 375g,Food,1.26,7
P000313,Dove Baby Wipes 64ct,Personal Care,1.67,365
P000314,Persil Dishwashing Liquid 900ml,Household,1.94,730
P000315,Tesco Dishwashing Liquid 450ml,Household,1.19,1095
P000316,Dairy Gold Gravy Granules 190g,Food,1.07,180
P000317,Nestlé Jam 340g,Food,0.84,14
P000318,Lyons Tea Instant Coffee 200g,Food,2.01,90
P000319,Weetabix Gravy Granules 190g,Food,0.71,30
P000320,Nescafé Iced Coffee 250ml,Beverage,0.77,14
P000321,Persil Laundry Capsules 50ct,Household,6.75,1095
P000322,Fairy Toilet Paper 18pk,Household,4.14,365
P000323,Dairy Gold Tomato Ketchup 460g,Food,0.89,90
P000324,Gillette Toothbrush 4ct,Personal Care,0.89,730
P000325,Dettol Dishwashing Liquid 450ml,Household,1.24,365
P000326,Nescafé Sparkling Water 500ml,Beverage,0.59,90
P000327,Coca-Cola Tea Bags 160ct,Beverage,2.29,14
P000328,Knorr Instant Coffee 100g,Food,2.98,30
P000329,Nescafé Chocolate Bar 40g,Food,0.47,30
P000330,McCain Biscuits 300g,Food,1.2,90
P000331,Dettol Kitchen Towels 4pk,Household,1.29,1095
P000332,Chivers Crisps 150g,Food,0.49,14
P000333,Lyons Tea Instant Coffee 200g,Food,1.9,180
P000334,Weetabix Instant Coffee 100g,Food,1.93,14
P000335,Heinz Tea Bags 80ct,Food,1.88,14
P000336,Pampers Razor Blades 4ct,Personal Care,5.0,730
P000337,Ariel Surface Wipes 70ct,Household,1.56,730
P000338,Lyons Tea Cola 330ml,Beverage,0.47,90
P000339,Oreo Pasta Sauce 500g,Food,1.18,90
P000340,Barry's Tea Cola 330ml,Beverage,0.51,30
P000341,Evian Lemon-Lime Soda 2L,Beverage,0.98,90
P000342,Nescafé Biscuits 300g,Food,1.04,90
P000343,Lyons Tea Breakfast Cereal 375g,Food,1.44,14
P000344,Bisto Crisps 150g,Food,0.87,90
P000345,Barry's Tea Lemon-Lime Soda 330ml,Beverage,0.77,180
P000346,Nescafé Lemon-Lime Soda 330ml,Beverage,0.51,365
P000347,Lyons Tea Frozen Peas 900g,Food,1.05,180
P000348,Dairy Gold Breakfast Cereal 500g,Food,1.57,30
P000349,Lyons Tea Cola 500ml,Beverage,0.66,180
P000350,Coca-Cola Tea Bags 160ct,Beverage,2.02,365
P000351,Dove Deodorant 150ml,Personal Care,1.53,730
P000352,Fairy Toilet Paper 18pk,Household,4.23,1095
P000353,Heinz Tea Bags 160ct,Food,3.68,365
P000354,Nescafé Greek Yogurt 500g,Food,1.34,180
P000355,Barry's Tea Milk 1L,Beverage,0.75,90
P000356,Dairy Gold Frozen Chips 1.5kg,Food,3.35,14
P000357,Nescafé Orange Juice 1L,Beverage,1.19,180
P000358,Gillette Body Wash 500ml,Personal Care,2.04,730
P000359,Ballygowan Instant Coffee 200g,Beverage,2.11,365
P000360,Knorr Butter 250g,Food,1.66,7
P000361,Pepsi Iced Coffee 250ml,Beverage,0.72,365
P000362,Coca-Cola Instant Coffee 200g,Beverage,2.02,180
P000363,Nescafé Iced Coffee 250ml,Beverage,0.95,180
P000364,Colgate Razor Blades 4ct,Personal Care,4.84,365
P000365,Chivers Greek Yogurt 500g,Food,1.61,180
P000366,Colgate Toothpaste 75ml,Personal Care,0.94,730
P000367,Colgate Deodorant 150ml,Personal Care,1.92,1095
P000368,Lyons Tea Gravy Granules 190g,Food,0.79,30
P000369,Cadbury Crisps 150g,Food,0.52,14
P000370,Kerrygold Greek Yogurt 500g,Food,1.69,30
P000371,Birds Eye Pasta Sauce 500g,Food,0.99,180
P000372,Lyons Tea Greek Yogurt 500g,Food,1.2,7
P000373,Tesco Bleach 1L,Household,1.01,365
P000374,McCain Frozen Peas 900g,Food,1.43,30
P000375,Dairy Gold Greek Yogurt 500g,Food,1.43,90
P000376,Fairy Laundry Capsules 50ct,Household,6.49,730
P000377,Chivers Frozen Chips 1.5kg,Food,2.54,180
P000378,Dettol Dishwashing Liquid 450ml,Household,0.99,365
P000379,Heinz Cheddar Cheese 400g,Food,1.74,14
P000380,Nescafé Crisps 150g,Food,0.48,365
P000381,Ariel Kitchen Towels 4pk,Household,2.01,365
P000382,Evian Instant Coffee 200g,Beverage,2.13,30
P000383,Dove Baby Wipes 64ct,Personal Care,1.4,365
P000384,Ariel Surface Wipes 70ct,Household,1.86,365
P000385,Persil Bleach 1L,Household,0.68,365
P000386,Barry's Tea Jam 340g,Food,0.97,365
P000387,Birds Eye Cheddar Cheese 200g,Food,1.43,14
P000388,Ariel Toilet Paper 18pk,Household,3.54,365
P000389,Dettol Kitchen Towels 4pk,Household,1.66,730
P000390,Tesco Toothpaste 75ml,Personal Care,0.92,365
P000391,Knorr Chocolate Bar 100g,Food,0.45,180
P000392,Nestlé Jam 340g,Food,0.72,30
P000393,Ariel Bleach 1L,Household,0.83,365
P000394,McCain Biscuits 300g,Food,0.84,30
P000395,Colgate Conditioner 400ml,Personal Care,1.55,365
P000396,Colgate Baby Wipes 64ct,Personal Care,1.31,365
P000397,Oreo Crisps 150g,Food,0.42,14
P000398,Fairy Disinfectant Spray 750ml,Household,2.17,365
P000399,Tesco Surface Wipes 70ct,Household,0.86,730
P000400,Cadbury Tomato Ketchup 460g,Food,1.15,30
P000401,Dettol Razor Blades 8ct,Personal Care,6.06,730
P000402,Nescafé Sparkling Water 500ml,Beverage,0.46,365
P000403,Tesco Laundry Capsules 50ct,Household,5.9,365
P000404,Dairy Gold Cheddar Cheese 200g,Food,1.27,30
P000405,Tesco Razor Blades 8ct,Personal Care,5.14,730
P000406,Oreo Breakfast Cereal 500g,Food,1.93,14
P000407,Nestlé Frozen Chips 1.5kg,Food,2.59,180
P000408,Colgate Body Wash 500ml,Personal Care,2.16,365
P000409,Heinz Tea Bags 80ct,Food,1.43,90
P000410,Nestlé Pasta Sauce 500g,Food,1.19,180
P000411,Dettol Shampoo 400ml,Personal Care,1.35,365
P000412,Huggies Razor Blades 4ct,Personal Care,3.48,1095
P000413,Barry's Tea Milk 1L,Beverage,0.84,90
P000414,Pepsi Orange Juice 1L,Beverage,1.57,30
P000415,Birds Eye Biscuits 300g,Food,0.76,90
P000416,Weetabix Chocolate Bar 100g,Food,0.38,90
P000417,McCain Instant Coffee 200g,Food,2.17,90
P000418,Persil Toilet Paper 18pk,Household,2.98,1095
P000419,Persil Dishwashing Liquid 450ml,Household,0.98,730
P000420,Persil Laundry Detergent 1.3L,Household,3.69,730
P000421,Ariel Laundry Capsules 30ct,Household,4.43,365
P000422,Birds Eye Tomato Ketchup 460g,Food,1.0,30
P000423,Lyons Tea Iced Coffee 250ml,Beverage,0.59,180
P000424,Cadbury Frozen Peas 900g,Food,1.64,180
P000425,Barry's Tea Instant Coffee 100g,Beverage,1.87,90
P000426,Lyons Tea Tea Bags 80ct,Food,1.55,180
P000427,Dettol Shampoo 400ml,Personal Care,1.88,730
P000428,Nestlé Biscuits 154g,Food,0.6,14
P000429,Birds Eye Frozen Peas 900g,Food,1.84,90
P000430,Lyons Tea Biscuits 300g,Food,1.04,180
P000431,Tesco Disinfectant Spray 750ml,Household,2.32,365
P000432,Pepsi Tea Bags 160ct,Beverage,2.28,14
P000433,Dairy Gold Frozen Chips 1.5kg,Food,2.04,180
P000434,Heinz Greek Yogurt 500g,Food,1.42,14
P000435,Dettol Kitchen Towels 4pk,Household,1.98,365
P000436,Oreo Cheddar Cheese 200g,Food,1.58,14
P000437,Tesco Laundry Capsules 50ct,Household,6.5,365
P000438,Fairy Surface Wipes 70ct,Household,1.54,730
P000439,Birds Eye Cheddar Cheese 400g,Food,1.93,30
P000440,Cadbury Biscuits 154g,Food,0.62,90
P000441,Huggies Toothpaste 75ml,Personal Care,1.15,365
P000442,Lyons Tea Instant Coffee 200g,Food,2.79,365
P000443,Weetabix Breakfast Cereal 375g,Food,1.16,14
P000444,Persil Laundry Capsules 50ct,Household,6.04,1095
P000445,Gillette Baby Wipes 64ct,Personal Care,0.99,730
P000446,Dove Nappies Size 3,Personal Care,8.01,365
P000447,Fairy Laundry Capsules 50ct,Household,4.93,730
P000448,Bisto Tea Bags 160ct,Food,1.74,14
P000449,Chivers Jam 340g,Food,0.79,90
P000450,Dettol Laundry Detergent 1.3L,Household,3.88,365
P000451,Evian Sparkling Water 1.5L,Beverage,0.68,90
P000452,Dairy Gold Jam 340g,Food,0.98,90
P000453,Tesco Shampoo 400ml,Personal Care,1.51,730
P000454,Birds Eye Greek Yogurt 500g,Food,1.51,7
P000455,Coca-Cola Iced Coffee 250ml,Beverage,0.8,30
P000456,Barry's Tea Biscuits 300g,Food,1.13,30
P000457,Nescafé Milk 2L,Beverage,1.44,90
P000458,Bisto Jam 340g,Food,1.15,14
P000459,Lyons Tea Breakfast Cereal 375g,Food,1.14,30
P000460,Nescafé Biscuits 154g,Food,0.52,180
P000461,Nescafé Instant Coffee 200g,Beverage,1.8,180
P000462,Tesco Laundry Detergent 2.6L,Household,6.03,365
P000463,Evian Still Water 1.5L,Beverage,0.67,30
P000464,Tesco Toothpaste 75ml,Personal Care,0.98,730
P000465,Oreo Frozen Chips 1.5kg,Food,3.38,14
